,Paragraph No,Speech Date,Speaker,Speech Title,Speech Content,Speech Summary
0,0,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"Good afternoon, folks. Vice President Harris and I just received a briefing from our economic team and we remain in a once in a century public health crisis that’s led to the most unequal job and economic crisis in modern history. And the crisis is only deepening. It’s not getting better. It’s deepening. Yesterday, we learned that 900,000 more Americans filed for unemployment, 900,000. They join millions of Americans who through no fault of their own, have lost the dignity and respect that comes with a job and a paycheck.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
1,1,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"So many of them never thought they’d ever be out of work in the first place, just like my dad did when he was used to lie awake at night when I was a kid staring at the ceiling unable to sleep, because he worried about whether or not he’s about to lose his health care. Or whether we were going to have the money to pay the mortgage, because of the economic circumstance he was in. And now a lot of these folks are facing eviction or waiting hours in their cars, literally hours in their cars waiting to be able to feed their children as they drive up to a food bank.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
2,2,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"This is the United States of America and they’re waiting to feed their kids. Folks who are able to still keep their job, many have seen their paychecks reduced and they’re barely hanging on and wondering what’s next. Sometimes the anxiety about what’s going to happen next is more consequential than what actually happened, but this is happening today in America. And this cannot be who we are as a country. These are not the values of our nation. We cannot, will not let people go hungry. We cannot let people be evicted because of nothing they did themselves.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
3,3,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"I cannot watch people lose their jobs and we have to act. We have to act now. It’s not just to meet them moral obligation to treat our fellow Americans with the dignity respect they deserve. This is an economic imperative, a growing economic and consensus that we must act decisively and boldly to grow the economy for all Americans, not just for tomorrow, but in the future. There’s a growing course of top economists that agree. That in this moment of crisis with interest rates as low as they are, historic lows, it is smart fiscal investment, including deficit spending, and they’re more urgent than ever.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
4,4,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"And that return on these investments in jobs and racial equity is going to prevent long-term economic damage and benefits that are going to far surpass their costs. If we don’t act, the rest of the world is not standing still in terms of their competitive advantage or the competitive possibilities relative to us. That our debt situation will be more stable and not less stable according to these economists. And that such investments in our people is going to strengthen our economic competitiveness as a nation and help us out-compete our competitors in the global economy, because we’re going to grow the economy with these investments.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
5,5,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"While the COVID-19 package that passed in December was the first step. As I said, at the time, it’s just a down payment. We need more action and we need to move fast. Last week, I laid out a two-step plan of rescue and recovery to get through the crisis and to a better and stronger and more secure America. The first step of our American Rescue Plan is a plan to tackle the pandemic and get direct financial relief to Americans who need it the most.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
6,6,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"In just a few days, it’s just been a few days since I outlined this plan and it’s received bipartisan support from the majority of American mayors and governors. Businesses and labor organizations have together welcomed it as an urgent action that’s needed. Even Wall Street firms have underscored its importance. In fact, an analysis by Moody’s estimates that if we pass our American Rescue Plan, the economy would create 7.5 million jobs just in this year alone.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
7,7,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"That would be on the way to the more than 18 million, I think it was 18,600,000 jobs that they believe would be created over the four year period with our Build Back Better recovery plan. And with our American Rescue Plan, our economy would return to full employment a full year faster than without the plan, even President Trump’s. President Trump’s now, not some liberal organization. President Trump’s top former economic advisor, Kevin Hassett said, quote, “He absolutely is in favor of this rescue plan.”",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
8,8,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"This almost doesn’t have a partisan piece to it. We’re seeing the support because this plan takes a step that we so urgently need. More than just a step number of steps. It funds big parts of the COVID-19 national strategy that I released yesterday, we released yesterday. Our national strategy puts us on a war footing to aggressively speed up our COVID-19 response, especially on vaccines and testing and reopening our schools.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
9,9,"Jan 22, 2021",President Joe Biden,Joe Biden Speech on COVID-19 Economic Relief Transcript January 22 - Rev,"I found it fascinating yesterday, the press asked the question is a 100 million enough? Week before they were saying, “Biden, you’re crazy. You can’t do 100 million in 100 days.” Well, we’re going to God-willing not only do 100 million, we’re going to do more than that, but we have to do this. We have to move. The American Rescue Plan also includes economic relief for most Americans who are in need. We’re going to finish the job of getting a total of $2,000 in direct payments to folks. $600, which was already passed is simply not enough. If you still have to choose between paying your rent, putting food on the table, we’ll extend unemployment insurance benefits for millions of workers beyond the deadline that’s now set.",President Joe Biden gave remarks on his administration’s response to the impact of COVID-19 on the economy on January 22. Read the transcript of his speech here.
